Receive Date,Receive Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
11/08/2019,New Rcv,SJ,M,B,82,Brazoria,23990196,Property,THEFT W/2 MORE PREV CONV,10/11/2019,04/24/2019,8 to 9 Months
11/07/2019,Parole Rvk-Tech Only,ID,M,W,74,Dallas,09150000,Violent,MURDER,03/28/1983,07/08/1981,Life
11/04/2019,New Rcv,ID,M,H,76,Taylor,13990075,Violent,ASLT FAM VIOLENCE ENH,08/01/2019,08/04/2018,3 Years
12/27/2019,New Rcv,ID,M,B,73,Howard,54040011,Other,DWI 3RD,11/21/2019,05/12/2018,5 Years
09/23/2019,New Rcv,ID,M,W,73,Eastland,11990004,Violent,AGG SEXUAL ASLT OF CHILD,08/28/2019,01/01/2011,16 to 20 Years
10/30/2019,MS Rvk-New Offense,ID,M,H,75,Hill,36140000,Violent,INDECENCY W/CHILD-SEX CONTACT,04/14/2000,05/24/1993,16 to 20 Years
11/21/2019,NR-Parole-New Offense,SAFP,M,B,74,Potter,22120000,Property,BURG OF BLDG,05/23/1984,01/18/1984,SAFPF
09/11/2019,Parole Rvk-New Offense,ID,M,B,70,McLennan,22990002,Property,ATT BURG HABIT (ENH),10/26/2009,06/01/2009,16 to 20 Years
12/04/2019,Parole Rvk-Tech Only,ID,M,W,72,Travis,12130000,Violent,AGG ROB W/DEADLY WPN,03/22/1984,09/30/1983,41 to 59 Years
01/15/2020,Parole Rvk-Tech Only,ID,M,W,72,Dallas,12130000,Violent,AGG ROBBERY,12/11/1975,04/04/1975,60 Years +
02/21/2020,NR-Prob-New Offense,ID,M,B,73,Smith,54010008,Violent,ACC INVOL INJ/DEATH,01/15/2020,07/15/2016,3 Years
10/07/2019,New Rcv,ID,M,W,72,Navarro,13150005,Violent,AGG ASLT W/DWPN,09/24/2019,10/29/2018,2 Years & Less
10/23/2019,New Rcv,ID,M,B,74,McLennan,11990001,Violent,SEXUAL ASSAULT,09/27/2019,07/07/2016,3 Years
04/01/2020,New Rcv,ID,M,W,72,Brazos,54040011,Other,DWI 3/M,02/20/2020,09/27/2017,11 to 15 Years
01/21/2020,Parole Rvk-New Offense,ID,M,B,74,Dallas,12130000,Violent,AGG ROBBERY W/DEADLY WPN,04/13/1990,02/16/1990,31 to 40 Years
08/20/2020,Parole Rvk-New Offense,ID,M,H,71,Lubbock,54040011,Other,DWI,10/09/2003,06/21/2003,31 to 40 Years
12/09/2019,New Rcv,ID,M,W,72,Fayette,36010005,Violent,INDECENCY W/CHILD CONT,11/13/2019,07/14/2019,5 Years
01/17/2020,New Rcv,ID,M,H,73,Howard,36010001,Violent,INDECENCY W/CHILD SEX CONTACT,12/07/2019,07/04/2017,7 Years
09/03/2019,New Rcv,ID,M,H,82,Atascosa,11990004,Violent,AGG SEX ASLT CHILD,08/07/2019,09/15/2017,10 Years
03/31/2020,Parole Rvk-New Offense,ID,M,B,71,Grayson,11180000,Violent,AGG SEX ASLT,04/01/1986,11/23/1985,41 to 59 Years
09/17/2019,NR-Prob Mod,SAFP,M,W,70,Carson,48010020,Other,EVADING ARREST DET W/VEH,,03/10/2017,SAFPF
01/29/2020,New Rcv,SJ,M,W,72,Ward,35990014,Drug,POSS CS PG1<1G,01/07/2020,09/01/2018,12 to 13 Months
12/06/2019,Parole Rvk-New Offense,ID,M,H,69,Williamson,35990003,Drug,DEL C/S,09/19/1995,09/28/1994,Life
11/15/2019,Parole Rvk-New Offense,ID,M,B,69,Midland,22990002,Property,BURG OF A HABIT-ENHANCED,01/24/2001,03/21/2000,60 Years +
09/06/2019,New Rcv,ID,M,B,69,Williamson,54040011,Other,DWI 3RD OR MORE,08/05/2019,04/20/2019,4 Years
01/06/2020,New Rcv,SJ,M,B,71,Tarrant,23990196,Property,THEFT<2500-2/MORE PREV CONV,12/03/2019,08/15/2019,6 Months & Less
07/07/2020,New Rcv,ID,M,W,75,Smith,13150005,Violent,AGG ASLT DW,02/03/2020,11/20/2018,10 Years
03/16/2020,Parole Rvk-New Offense,ID,M,W,69,Harris,35990015,Drug,POSS C/SUB PG1 1-4G,04/06/2010,09/24/2007,11 to 15 Years
12/19/2019,New Rcv,SJ,M,B,68,Harris,24110003,Property,UUV,12/11/2019,07/30/2018,17 to 18 Months
12/12/2019,New Rcv,ID,M,W,65,Kaufman,09990030,Violent,MURDER,11/05/2019,02/12/2019,60 Years +
09/26/2019,Parole Rvk-New Offense,ID,M,W,70,Scurry,54040011,Other,DWI,02/18/2009,10/24/2008,11 to 15 Years
10/11/2019,New Rcv,ID,M,H,67,Comal,36010001,Violent,INDEC W/CHILD CONTACT,08/22/2019,06/01/2006,10 Years
11/21/2019,Parole Rvk-Tech Only,ID,M,B,70,Bexar,09160000,Violent,ATTEMPTED MURDER HABITUAL,09/20/1974,05/01/1974,Life
10/16/2019,New Rcv,ID,M,H,80,Bexar,36010005,Violent,INDEC W/CHILD-CONTACT,10/08/2019,02/12/2018,3 Years
02/24/2020,New Rcv,ID,M,B,71,Taylor,35990014,Drug,POSS OF METH,01/10/2020,03/31/2019,5 Years
02/12/2020,New Rcv,ID,M,W,69,Chambers,09990030,Violent,MURDER,01/15/2020,09/17/2019,16 to 20 Years
08/21/2020,New Rcv,ID,M,B,70,Taylor,13150007,Violent,AGG ASLT,03/27/2020,07/07/2019,6 Years
